Geneid	Length
MTND4LP11	280
RN7SL847P	270
AL365203.1	196
RPL7AP53	793
AL121748.1	20416
NRP1	158771
AL121748.2	2528
RN7SL398P	298
AL353600.1	251
AC018980.1	21110
AL450313.1	2310
LINC00838	12946
RPL23P11	411
AL117338.1	8567
PARD3	705766
ELOBP4	296
RPL37P18	243
RPS12P16	407
PARD3-AS1	620
SS18L2P1	213
RNU6-847P	108
RNU6-193P	107
PRDX2P2	1191
AL392046.2	5670
CUL2	82092
MIR3611	83
AL392046.1	29015
CREM	86168
RNU7-77P	60
ATP6V1G1P4	335
AL117336.2	335
AL117336.1	10705
RNU6-794P	64
CCNY	325645
RNU6-1167P	94
AL117336.3	21850
AL121749.1	3669
GJD4	3526
FZD8	4030
MIR4683	81
RPL7P37	738
PCAT5	22619
AL365500.1	2090
AL355300.1	304
MTND5P17	1603
MTND4P18	465
AL590730.1	3777
NAMPTP1	2514
AL390061.1	3824
MKNK2P1	628
ARL6IP1P2	563
ANKRD30A	258324
RNU6-811P	107
AL157387.1	1163
LINC00993	98914
RN7SL314P	292
TMEM161BP1	1457
VN1R53P	957
TACC1P1	21691
MTND1P18	573
MTRNR2L7	1535
AL132657.1	8761
ZNF248	81581
AL132657.2	358
ZNF33BP1	1834
TLK2P2	2377
AL135791.1	1371
ZNF37CP	516
ZNF33CP	2030
ZNF25	27062
AL117337.1	15643
ZNF33A	54439
RNU6-795P	103
AL161931.1	246
EIF3LP3	822
FXYD6P2	288
ZNF37A	55960
AL117339.5	265731
AL117339.4	7063
AL117339.2	180
AL117339.1	47770
AL133217.1	85234
AL117339.3	162
HSD17B7P2	22126
SEPT7P9	19848
AL133216.2	48965
RNU6-1118P	104
CICP9	2379
AL133216.1	12996
ABCD1P2	4192
AL133173.2	90
PABPC1P12	2175
SLC9B1P3	48098
ACTR3BP5	1479
CHEK2P5	6035
AL133173.1	397
AL590623.1	105
KSR1P1	240
IGKV1OR10-1	453
AL031601.1	394
AL031601.2	34122
PABPC1P8	2086
BX322639.1	36109
CCNYL2	67182
AL391099.1	187
LINC00839	19794
ZNF37BP	39313
FXYD6P1	285
EIF3LP2	807
ZNF33B	64384
AL022345.3	228
AL022345.1	135
AL022345.2	135
RNU6-1170P	106
AL022345.4	7229
VN1R54P	1049
LINC01518	17527
CUBNP1	20205
AL022344.1	10419
RSU1P1	11303
DUXAP3	1144
AL022344.2	3120
BMS1	52137
RNU6-885P	104
AL365199.1	2540
LINC01264	2491
MIR5100	119
RET	53325
AC010864.1	1511
CSGALNACT2	46823
RASGEF1A	72385
AC068707.1	4268
AC068707.2	24960
RNU6ATAC11P	125
FXYD4	4694
HNRNPF	23550
SNORD3J	190
AL450326.1	1363
ZNF487	46339
RNU7-193P	65
AL450326.2	1962
ZNF239	18275
CAP1P2	1409
ZNF485	11497
ZNF32-AS3	45887
AL645634.2	683
RPL21P88	436
ZNF32	4998
ZNF32-AS1	1176
ZNF32-AS2	2078
AL645634.1	1338
AL355989.2	512
UQCRHP3	251
ELOCP30	914
AL355989.1	1264
HNRNPA3P1	1139
LINC00840	50173
AL139237.2	11441
AL139237.1	1793
LINC00841	5464
AL137026.2	2212
AL137026.1	10784
C10orf142	2081
CXCL12	16329
RPL9P21	505
AL356157.2	111
AL356157.1	10897
EIF2AP4	1781
TMEM72-AS1	148666
AL353801.2	20607
TMEM72	25803
AL353801.1	18218
AL353801.3	542
RASSF4	36485
DEPP1	7830
C10orf25	3191
ZNF22	4852
CEP164P1	73845
AL358394.3	131142
DUXAP4	613
RPS19P7	396
RSU1P2	55110
CUBNP3	21597
AL358394.2	23996
ANKRD54P1	471
ANKRD30BP3	20151
MIR3156-1	75
AL358394.1	17200
AL512324.1	217
AL512324.3	11032
RNU6-1207P	107
CUBNP2	15336
OR6D1P	7613
OR13A1	13311
ALOX5	71944
AL731567.1	8552
MARCH8	140322
ZFAND4	57280
AGAP10P	21841
FAM21FP	20801
AL645998.1	345
WASHC2C	65762
AC012044.1	297
FAM25E	1897
AGAP4	28282
PARGP1	118062
RNA5SP310	116
RPL35AP25	330
TIMM23	31286
SNORA74C-1	201
NCOA4	25627
MSMB	12963
RPL23AP61	466
AGAP7P	21738
ANTXRLP1	39673
ANTXRL	43863
AGAP14P	21491
FAM25BP	4451
AC244230.1	11868
ANXA8L1	16158
AC244230.2	162113
LINC00842	54945
HNRNPA1P33	561
NPY4R	4783
GPRIN2	6487
SYT15	15957
AL356056.2	15364
AL356056.1	14237
SHLD2P1	41552
AL356056.3	3086
RHEBP1	556
RN7SL248P	329
AL731733.1	11163
CTSLP2	7247
GLUD1P2	27752
DUSP8P3	1760
BMS1P1	25316
RNA5SP311	116
AGAP13P	15961
FRMPD2B	23705
PTPN20	91093
GDF10	13162
GDF2	3781
RBP3	9505
ZNF488	18778
ANXA8	23997
AL591684.3	298
FAM25G	4475
AL591684.1	5984
AGAP9	21785
AL591684.2	35699
RNA5SP312	116
BMS1P2	13578
GLUD1P8	6094
DUSP8P4	1761
BX547991.1	11150
SHLD2P3	40730
RN7SL453P	329
RHEBP2	600
FO681492.1	12729
AC245041.2	83787
NPY4R2	4786
AC245041.1	3454
FAM25C	4437
AGAP12P	21768
RNA5SP315	116
BMS1P7	9735
PTPN20CP	55148
FRMPD2	121783
AC074325.1	1988
RPS6P14	719
MAPK8	132722
AC016397.2	1985
ARHGAP22	210232
ARHGAP22-IT1	1065
AC016397.1	242
AC068898.2	1090
AC068898.1	8226
WDFY4	298081
RPL13AP19	584
AC035139.1	628
AC060234.3	51259
LRRC18	4750
AC060234.2	16493
AC060234.1	34334
MIR4294	76
VSTM4	101265
FAM170B-AS1	29709
FAM170B	2855
TMEM273	33861
C10orf71-AS1	2907
C10orf71	28295
DRGX	31836
AL138760.1	53627
ERCC6	84171
HMGB1P50	1345
CHAT	56010
SLC18A3	2420
C10orf53	30611
OGDHL	27737
MAPK6P6	1459
RPL21P89	467
PARG	151925
RPL35AP24	330
TIMM23B	32818
SNORA74C-2	201
LINC00843	9291
RNA5SP317	116
AL442003.1	7480
AGAP6	28310
FAM21EP	46622
SLC9A3P3	2229
WASHC2A	65619
SLC9A3P1	1685
ASAH2	65833
DYNC1I2P1	1838
SGMS1	319578
AC069547.1	1586
AL117341.1	1433
RNU7-107P	61
SGMS1-AS1	16501
SHQ1P1	1544
BEND3P1	4506
NUTM2HP	9584
AL589794.1	390
CTSLP4	3527
PGGT1BP1	1023
ASAH2B	77178
A1CF	86267
AL512366.1	1834
CCDC58P2	366
AL731537.2	951
PRKG1	1307460
AL731537.1	5975
AC022537.1	913
MIR605	83
AC069079.1	4144
RSU1P3	835
CSTF2T	4105
PRKG1-AS1	83766
DKK1	3747
RPL31P44	377
THAP12P3	2358
LNCAROD	304536
MBL2	6321
AC073174.2	9155
AC073174.1	2328
SNRPEP8	260
AC036101.1	19994
RNA5SP318	92
AL365496.1	215
PCDH15	1825172
RNU6-687P	89
AL353784.1	169822
NEFMP1	1006
MIR548F1	84
AC051618.1	4449
AC016822.1	349479
AL355314.1	896
AL355314.2	6999
MTRNR2L5	739
GAPDHP21	1010
AC069545.1	358
ZWINT	4048
RF01299	69
MIR3924	81
AL731534.1	269
AC006484.1	1884
MRPS35P3	709
AC026884.1	457
IPMK	76418
TPT1P10	496
CISD1	20529
AC016396.1	1069
AC016396.2	1417
UBE2D1	35779
TFAM	14200
BICC1	318298
FAM133CP	704
RN7SKP196	345
LINC00844	1918
RPLP1P10	339
TRAF6P1	1558
PHYHIPL	71185
FAM13C	117053
AC025038.1	689
MRPL50P4	475
AC026391.1	71879
SLC16A9	85242
MRLN	19350
CCDC6	117894
LINC01553	5484
ANK3	707193
AL592430.1	10076
AL592430.2	966
ARL4AP1	705
AC022390.1	7487
CDK1	16522
RHOBTB1	132003
RNU2-72P	163
LINC00845	10146
TMEM26	46808
TMEM26-AS1	29318
CABCOCO1	103806
AL451049.1	497
AC022398.1	39502
ARID5B	195645
RTKN2	85673
AC024597.1	14513
RN7SL591P	292
ZNF365	296110
AC024598.1	297820
AC067752.1	151564
AC067751.1	123236
ALDH7A1P4	178
ADO	3627
EGR2	107905
RNU6-543P	108
AL590502.1	1600
NRBF2	21785
JMJD1C	354630
TATDN1P1	891
AC022022.2	360
MIR1296	92
PRELID1P3	643
JMJD1C-AS1	1335
AC022022.1	178
REEP3	103761
MRPL35P2	511
AC022387.2	448
AC022387.1	325905
RPL7AP50	795
AC012558.1	936
DBF4P1	1892
RPL17P35	549
CYP2C61P	290
ANXA2P3	1008
AC024600.1	23383
NEK4P3	544
AL513321.2	17519
MYL6P3	432
AL513321.1	761
AL592466.1	43762
LINC01515	198498
CTNNA3	1783652
AC022017.1	39084
AL607023.1	248
LRRTM3	173825
AL139240.1	2420
RPL7AP51	760
MIR7151	60
AKR1B10P1	942
RPL21P92	476
DNAJC12	41502
RNU6-1250P	107
RN7SL394P	291
DNAJC19P1	319
AL133551.1	1222
RNU6-523P	54
RPL12P8	580
SIRT1	33722
HERC4	153450
RPS3AP38	763
RN7SL220P	300
POU5F1P5	658
MYPN	105901
RN7SKP202	330
ATOH7	1480
AC016395.1	9129
KRT19P4	943
PBLD	50390
HNRNPH3	12018
RUFY2	66188
DNA2	58058
RPL26P29	438
RNA5SP319	119
SLC25A16	49476
RPL26P27	437
TMEM14DP	345
TET1	133827
COX20P1	357
RPS3AP37	745
AL513534.1	2295
AL513534.2	485
CCAR1	71366
SNORD98	67
MIR1254-1	97
STOX1	67892
RNU6-697P	107
AL359844.1	3849
DDX50	45570
RNU6-571P	107
DDX21	28946
KIF1BP	54824
MED28P1	571
ACTBP14	1089
SRGN	16706
VPS26A	49350
RPS12P17	377
SUPV3L1	28868
AL596223.1	17158
HKDC1	47257
AL596223.2	2807
HK1	131901
RPS15AP28	386
TACR2	12965
ATP5MC1P7	400
TSPAN15	56197
TMEM256P1	340
NEUROG3	1541
AL450311.2	1348
MTATP6P23	476
MTCO2P23	680
MTCO1P23	1526
MTND2P15	892
MTND1P20	950
FAM241B	3349
AL450311.1	7554
RPL5P26	877
COL13A1	162409
AC024601.1	13211
H2AFY2	59485
AIFM2	34712
TYSND1	8696
SAR1A	23235
CALM2P2	440
RPS25P9	252
PPA1	31082
NPFFR1	36348
LRRC20	83681
CEP57L1P1	1201
EIF4EBP2	24240
NODAL	15637
AC022532.1	1728
PALD1	89629
YY1P1	990
PRF1	5428
ADAMTS14	89639
TBATA	14163
RPS26P40	294
SGPL1	65213
PCBD1	6505
AC073176.3	150756
AC073176.2	2133
AC073176.1	16589
UNC5B	90295
UNC5B-AS1	1005
SLC29A3	62166
AL359183.1	2132
CDH23	419014
CDH23-AS1	3721
C10orf105	26123
VSIR	25940
MIR7152	54
PSAP	35078
RNU7-38P	60
AC073370.1	752
CHST3	49200
AC022392.1	744
SPOCK2	29998
ASCC1	121103
RPL15P14	636
ANAPC16	19861
DDIT4	2117
DDIT4-AS1	1066
DNAJB12	22401
MICU1	258865
RNU6-805P	106
AC091769.2	5556
AC091769.1	568
AL513185.1	1211
AL513185.2	193
RN7SL840P	284
HMGN2P34	269
AL513185.3	1640
MCU	195564
MIR4676	72
AC016542.3	619
AC016542.2	619
AC016542.1	493
OIT3	39453
NPM1P24	894
PLA2G12B	19609
RPL17P50	763
P4HA1	89758
AL731563.1	342
AL731563.2	2714
AL731563.3	3254
NUDT13	21454
AC016394.1	960
SNORA11F	128
ECD	38901
FAM149B1	76339
DNAJC9	65501
EIF4A2P2	1400
DNAJC9-AS1	29625
MRPS16	3851
CFAP70	105101
RNU6-833P	107
ANXA7	38976
AL512656.1	2064
RPL26P6	438
MSS51	9983
PPP3CB	59597
PPP3CB-AS1	24546
USP54	128416
RNU6-883P	107
RPS26P41	589
AC073389.1	795
AC073389.3	935
MYOZ1	10104
SYNPO2L	18923
AC073389.2	20681
AGAP5	23875
AC022400.3	56172
BMS1P4	31337
AC022400.5	9847
RNA5SP320	124
GLUD1P3	6750
DUSP8P5	1815
AC022400.4	286
AC022400.7	1236
SEC24C	27778
AC022400.8	3599
FUT11	7961
CHCHD1	1606
ZSWIM8	16216
AC022400.9	273
ZSWIM8-AS1	4886
AC022400.6	15138
NDST2	9888
CAMK2G	62091
AC022400.1	1220
AC022400.2	5283
PLAU	8321
C10orf55	12809
VCL	126171
AL596247.1	22779
AP3M1	30809
ADK	558119
TIMM9P1	256
RPSAP6	882
RAB5CP1	580
AC022540.1	24473
MRPL35P3	364
NDUFA8P1	367
POLR3DP1	1176
FAM32CP	322
AC063962.1	521
KAT6B	207698
AC018511.2	22120
AC018511.1	777
DUPD1	20679
AC018511.5	13879
PPIAP13	478
DUSP13	14790
SAMD8	82538
RPS26P42	646
VDAC2	21295
COMTD1	2062
RPL39P25	154
ZNF503-AS1	103682
HMGA1P5	271
ZNF503	122181
AC010997.1	350
SPA17P1	452
ZNF503-AS2	7464
AC010997.4	354
AC010997.3	2686
AC010997.2	1018
LRMDA	1128715
AC010997.5	1645
MIR606	96
AL589863.1	631
AL731568.1	1016
RN7SL518P	280
RNU6-673P	104
AC012048.1	595
AC013286.1	1368
AC024603.1	2645
ATP5MC1P8	294
KCNMA1	768769
KCNMA1-AS1	92581
KCNMA1-AS2	2449
AL731575.1	1754
KCNMA1-AS3	22210
COX6CP15	211
RNA5SP321	111
AL731556.1	4004
AL731556.2	770
RNU6-1266P	105
IMPDH1P5	1540
AL450306.1	10311
DLG5	135736
AL391421.1	2736
RN7SL284P	275
DLG5-AS1	2453
H2AFZP5	382
POLR3A	60295
RPS24	23082
GNAI2P2	916
AL731555.1	1259
AC012560.1	495936
LINC00856	372171
AC010163.1	7162
AC010163.2	3504
RF00056	379
AL583852.1	13329
AC016820.1	961
ZMIZ1-AS1	124568
AL356753.1	3320
ZMIZ1	247494
PPIF	7869
ZCCHC24	63303
AL133481.1	26947
TPRX1P1	319
AL133481.3	2209
AL133481.2	3386
EIF5AL1	3840
BX248123.2	124
RPS12P18	270
SFTPA2	4551
MBL3P	2580
SFTPA3P	367
SFTPA1	4517
BX248123.1	3432
AL132656.2	17106
NUTM2B-AS1	163507
AL132656.3	1595
AL132656.4	2122
BEND3P3	2440
AL132656.1	490
NUTM2B	11455
AL135925.1	1701
NUTM2E	9521
NPAP1P2	1234
CTSLP6	3529
PGGT1BP2	1028
BMS1P21	46132
MBL1P	2942
SFTPD	44875
SFTPD-AS1	5001
AL512662.1	2251
ZNRF2P3	374
DPY19L2P5	331
AL356095.1	199
C1DP3	423
C1DP2	426
C1DP4	424
TMEM254-AS1	32053
AL356095.3	121
TMEM254	13912
AL356095.2	457
RPL22P18	377
PLAC9	13678
ANXA11	54684
LINC00857	11948
RPS12P2	269
AL513174.1	11704
EIF5AP4	465
AL359195.2	4412
MAT1A	17865
ZNF519P1	1936
AL359195.1	656
DYDC1	20651
DYDC2	23329
PRXL2A	29287
TSPAN14	78958
AC021028.1	6346
SH2D4B	108659
AL731544.1	3936
RPS7P9	586
AC027673.1	1600
FARSBP1	1924
WARS2P1	537
RPA2P2	796
NRG3	1111866
AC010157.2	2726
AC010157.1	4967
NRG3-AS1	3936
RNU6-441P	106
RNU6-478P	110
MARK2P15	2848
AC069540.2	3034
AC069540.1	988
RNU6-129P	107
AL390786.1	1269
RNU1-65P	148
HMGN2P8	567
AL603756.1	2163
GHITM	13806
CERNA2	4866
C10orf99	11557
CDHR1	24987
LRIT2	5095
LRIT1	9869
RGR	14908
LINC00858	14680
CCSER2	189964
RPL12P29	457
TNPO1P1	1138
CACYBPP1	1378
RPS3AP5	821
LINC01519	4538
AC025428.1	573
AC025428.2	16099
LINC01520	42405
AL731532.1	4236
RNU6-325P	105
AL731532.2	1953
GRID1-AS1	29483
GRID1	766939
AC022028.2	3994
RN7SKP238	249
AC022028.1	408
RNA5SP322	119
MIR346	95
WAPL	86560
RNU6-780P	104
AL731569.1	3157
RPL7AP8	804
OPN4	12292
LDB3	67620
AC067750.1	6545
BMPR1A	176238
RPAP2P1	1541
RNU1-19P	165
MMRN2	33942
AC025268.1	1199
SNCG	4643
ADIRF-AS1	5967
ADIRF	15743
AL136982.7	590
AGAP11	39386
BMS1P3	8183
AL136982.1	17798
AL136982.6	31301
AL136982.4	8270
AL136982.2	5998
FAM25A	4425
AL136982.5	294
RNU6-529P	104
GLUD1	44381
SHLD2	97308
AL136982.3	1570
RN7SL733P	329
NUTM2A-AS1	138738
AL157893.1	2038
NUTM2A	11461
LINC00863	15147
NUTM2D	13028
NPAP1P3	1586
CTSLP1	3519
LINC00864	27770
AL355334.1	215
MIR4678	74
MINPP1	48586
AL138767.2	14418
AL138767.3	51295
AL138767.1	49841
RPS26P38	348
PAPSS2	88093
ATAD1	89832
CFL1P1	27685
RN7SL78P	281
KLLN	4277
PTEN	108818
AC063965.1	1736
RPL11P3	523
MED6P1	1689
AL353149.1	244
RNLS	310667
LIPJ	20224
RPL7P34	712
LIPF	14374
NAPGP1	719
LIPK	28243
KRT8P38	1430
LIPN	16837
RCBTB2P1	1462
LIPM	17817
ANKRD22	29687
PTCD2P2	1095
STAMBPL1	95420
ACTA2-AS1	8431
ACTA2	56266
FAS	25204
RF02116	296
AL157394.1	1224
MIR4679-2	77
MIR4679-1	75
AL513533.1	415
CH25H	1686
LIPA	200989
IFIT2	25583
AL353751.1	8361
IFIT3	13078
IFIT6P	1194
IFIT1B	7150
IFIT1	13941
IFIT5	6416
SLC16A12	126343
SLC16A12-AS1	12077
PANK1	66076
MIR107	81
AL157400.5	621
AL157400.2	5386
AL157400.1	4534
AL157400.3	32491
AL157400.4	3634
KIF20B	73330
MTND5P42	498
LINC00865	11352
MARK2P16	1723
LINC01374	61043
LINC01375	41885
SNRPD2P1	354
RN7SKP143	310
AL391704.2	138285
AL391704.1	48799
AL391704.3	5236
AL390862.1	1469
HTR7	116876
RPP30	36838
ANKRD1	9181
RNU6-740P	105
AL365434.1	11771
AL365434.2	234
LINC00502	29008
DDX18P6	1997
NUDT9P1	745
PCGF5	121320
HECTD2	105550
AL161798.1	131
RPS27P1	247
PPP1R3C	4613
GAPDHP28	1003
FAF2P1	1298
TNKS2-AS1	15453
TNKS2	66965
SRP9P1	261
AL359198.2	194
FGFBP3	2895
AL359198.1	1218
BTAF1	106557
CPEB3	244396
SDHCP2	501
EIF4A1P8	1496
RF00622	78
NHP2P1	462
MARCH5	62802
RNY3P12	102
MARK2P9	2209
IDE	122393
KIF11	62110
RPL11P4	436
RN7SL644P	259
EIF2S2P3	999
HHEX	5696
EXOC6	224781
AL392103.1	198
AL358613.1	764
CYP26C1	8729
AL358613.3	13779
AL358613.2	1495
CYP26A1	4416
NIP7P1	512
XRCC6P1	2771
RPL17P34	555
MYOF	175889
CEP55	32461
RNA5SP323	133
FFAR4	37816
RBP4	10058
PDE6C	53423
FRA10AC1	34690
LGI1	48464
AL157396.1	9539
AL358154.1	15925
RAB11AP1	646
SLC35G1	62090
PIPSL	3350
PLCE1	302012
PLCE1-AS2	26865
AL139118.1	11992
HDAC1P1	1753
RNU6-657P	107
AL389885.1	2129
PLCE1-AS1	8202
AL139124.1	421
NOC3L	29734
TBC1D12	133427
HELLS	112472
AL138759.1	33800
CTBP2P2	1633
CYP2C18	52570
AL583836.1	164920
CYP2C19	90525
MTND4P19	478
CYP2C58P	7278
RPL7AP52	790
CYP2C9	50734
MTND4P20	869
CYP2C59P	431
CYP2C60P	139
AL359672.1	409
CYP2C8	32726
AL157834.1	26501
AL157834.3	103
PAWRP1	565
ACSM6	34729
AL157834.2	2902
PDLIM1	53453
SORBS1	249644
RPS3AP36	775
ALDH18A1	50778
TCTN3	30748
ENTPD1	157917
ENTPD1-AS1	337033
AL365273.1	40251
AL365273.2	64297
CC2D2B	125082
RPL21P90	466
CCNJ	17477
MIR3157	85
RNU6-271P	105
ZNF518A	75574
NPM1P25	854
BLNK	79886
AL136181.1	14011
DNTT	34169
OPALIN	16150
TLL2	149313
TM9SF3	69344
NPM1P26	738
PIK3AP1	127203
RNA5SP324	108
RPS2P36	831
RNU6-1274P	107
RPL13AP5	612
MIR607	96
LCOR	163678
HMGN2P35	270
SLIT1	187883
SLIT1-AS1	992
ARHGAP19-SLIT1	139593
ARHGAP19	70501
AL359385.1	3086
RPL12P27	821
FRAT1	2649
FRAT2	2213
AL355490.1	8640
RRP12	69719
RPL34P20	351
AL355490.2	18410
PGAM1	7282
EXOSC1	9876
ZDHHC16	11240
MMS19	40471
UBTD1	72342
ANKRD2	11386
HOGA1	28480
AL355315.1	89537
C10orf62	1208
MORN4	18948
PI4K2A	35749
AVPI1	9900
MARVELD1	4980
ZFYVE27	23787
SFRP5	5202
LINC00866	21321
GOLGA7B	21342
CRTAC1	165829
AL355301.1	61
R3HCC1L	110274
LOXL4	20561
AL139241.1	4553
PYROXD2	31620
MIR1287	90
HPS1	30750
MIR4685	69
HPSE2	778786
MIR6507	70
ARL5AP2	850
RPL7P36	681
CNNM1	65232
GOT1	34700
AL391684.1	30825
LINC01475	4828
AL513542.1	1520
NKX2-3	3592
SLC25A28	10088
AL353719.1	864
AL133353.1	7690
AL133353.2	80518
ENTPD7	46735
EBAG9P1	543
CUTC	53577
COX15	20257
ABCC2	69955
NANOGP6	847
DNMBP	134343
DNMBP-AS1	31372
CPN1	39685
CYP2C23P	34398
TPM4P1	807
SPCS2P2	931
ERLIN1	38241
CHUK	41322
AL138921.2	712
AL138921.1	4334
CWF19L1	35383
SNORA12	147
PHBP9	825
RNU6-422P	107
BLOC1S2	13433
PKD2L1	42333
AL139819.1	10828
SCD	17711
OLMALINC	80531
WNT8B	20704
SEC31B	33223
AL133352.1	24254
NDUFB8	6261
HIF1AN	30927
PAX2	94339
AL138762.1	1637
SLF2	52568
AL133215.3	448
MRPL43	18058
SEMA4G	16354
MIR608	100
AL133215.1	5108
TWNK	7035
LZTS2	11219
PDZD7	24613
SFXN3	10011
AL133215.2	977
KAZALD1	6291
TLX1NB	41806
TLX1	7285
LINC01514	17825
SMARCE1P7	808
LBX1	3600
LBX1-AS1	40555
AL133387.2	10730
RNU2-43P	190
AL133387.1	488
AL133387.3	910
BTRC	203289
RNU2-59P	191
DPCD	39109
POLL	9389
MIR3158-2	81
MIR3158-1	81
FBXW4	84632
RNU6-1165P	107
AC010789.1	3750
FGF8	10240
NPM3	2089
OGA	34023
KCNIP2-AS1	9702
KCNIP2	17947
ARMH3	210595
HPS6	2649
AL500527.1	255
AL500527.2	95
LDB1	12894
PPRC1	17338
NOLC1	11696
ELOVL3	3262
PITX3	11289
GBF1	137368
NFKB2	8420
PSD	18923
FBXL15	3948
CUEDC2	9417
MIR146B	73
RPARP-AS1	11290
C10orf95	1707
MFSD13A	15651
ACTR1A	40831
AL121928.1	521
SUFU	129549
RPL23AP58	469
RNU6-43P	107
TRIM8	18371
AL391121.1	1349
ARL3	40677
SFXN2	28955
WBP1L	90616
RNU6-1231P	103
CYP17A1	7003
PFN1P11	7463
PTGES3P4	356
AL358790.1	8753
BORCS7	10739
BORCS7-ASMT	47628
AS3MT	32384
RPL22P17	315
AL356608.1	820
CNNM2	171929
NT5C2	105290
RPS15AP29	400
MARCKSL1P1	541
ST13P13	1092
RPEL1	2130
INA	13189
PCGF6	48349
RNU11-3P	133
TAF5	21099
ATP5MD	7452
MIR1307	149
PDCD11	49667
CALHM2	5617
AL139339.2	657
AL139339.1	9850
CALHM1	5502
CALHM3	6437
NEURL1-AS1	37791
NEURL1	98574
AL121929.1	1890
SH3PXD2A	261517
AL121929.2	1432
SH3PXD2A-AS1	9458
AL133355.1	2388
STN1	35664
SLK	62033
RN7SL524P	300
COL17A1	54672
MIR936	98
SFR1	4328
CFAP43	102475
MIR609	95
GSTO1	32104
MIR4482	70
GSTO2	36073
ITPRIP	28751
AL162742.2	1741
AL162742.1	3636
CFAP58-DT	1985
CFAP58	101327
AL161646.1	5336
AL161646.2	57824
SORCS3	624135
SORCS3-AS1	1593
RNU6-463P	107
PPIAP38	483
YWHAZP5	730
AL731574.1	10423
AL353148.1	48459
RPL23AP59	1016
SORCS1	590872
RNA5SP325	130
RNA5SP326	110
LINC01435	502877
PTGES3P5	434
AL353740.1	13841
AL356476.1	128846
MAPKAPK5P1	1376
RN7SKP278	342
RNU5B-6P	68
RNU6-839P	108
PHB2P1	890
BTF3P15	336
AL390123.1	237
XIAPP1	600
RPL21P91	479
XPNPEP1	58788
RNU4-5P	135
ADD3-AS1	68278
ADD3	139198
SNRPGP12	213
MXI1	79761
AL360182.2	742
AL360182.1	780
SMNDC1	14222
AL355512.1	67365
HMGB3P5	612
DUSP5	13707
RPL7P35	740
SMC3	36946
RBM20	195073
RN7SKP288	268
RNA5SP327	101
AL136368.1	1852
PDCD4-AS1	2366
PDCD4	28212
MIR4680	66
BBIP1	20545
AL158163.2	700
AL158163.1	1649
SHOC2	94121
RPL13AP6	612
MIR548E	88
ADRA2A	3745
AL355863.1	293
BTBD7P2	620
AC021035.1	2165
RPS6P15	751
GPAM	65514
TECTB	21636
MIR6715B	77
MIR6715A	79
GUCY2GP	48394
ACSL5	54363
AL157786.1	29777
ZDHHC6	22490
VTI1A	371747
AC022018.1	241
MIR4295	85
AL139120.1	6008
AL158212.5	11808
AL158212.3	4237
AL158212.4	1286
AL158212.1	17377
TCF7L2	217429
AL158212.2	1230
RPS15AP30	390
RNU7-165P	60
PPIAP39	498
HABP2	38766
NRAP	75412
CASP7	51746
AL592546.1	8652
PLEKHS1	31976
MIR4483	62
DCLRE1A	19659
NHLRC2	62534
ADRB1	2853
AC022023.1	8845
RNU6-709P	104
UBE2V1P5	405
CCDC186	53371
RF02277	125
MIR2110	75
TDRD1	53035
VWA2	52184
AURKAP2	641
AC005383.1	534
AFAP1L2	109933
RN7SL384P	298
AL133384.2	2954
ABLIM1	253891
AL133384.1	351
PPIAP19	492
AL137025.1	29557
TAF9BP2	1796
FAM160B1	78089
RPL15P13	645
TRUB1	39484
RNU6-1121P	109
AL355340.1	1937
ATRNL1	855628
AC016042.1	95338
NTAN1P1	646
GFRA1	216543
AC012470.1	6802
CCDC172	55602
SNRPGP6	220
PNLIPRP3	50091
HMGB3P8	577
RNU6-1090P	94
PNLIP	21925
PNLIPP1	6010
PNLIPRP1	18791
PNLIPRP2	24191
C10orf82	6569
AC016825.1	2637
HSPA12A	179045
RPL5P27	1357
ENO4	62277
SHTN1	245105
AC012308.1	178
VAX1	9781
MIR3663HG	10404
MIR3663	97
RPL12P26	487
KCNK18	12811
AL731557.1	2324
SLC18A2	38358
AL391988.1	1553
PDZD8	98194
AC005871.2	65226
EMX2OS	71854
EMX2	7103
AC005871.1	10374
AL139121.1	1095
AL513324.1	4616
RAB11FIP2	41688
AC022395.1	28324
CASC2	163875
AL354863.1	26147
FAM204A	44399
LINC00867	7996
SLC25A18P1	750
PRLHR	5711
TOMM22P5	439
CACUL1	81083
AL139407.1	1175
RPL17P36	549
LDHAP5	622
AL157788.1	349
NANOS1	4017
EIF3A	47154
SNORA19	128
AL355598.1	202
FAM45A	33899
SFXN4	24901
PRDX3	11131
GRK5	252154
GRK5-IT1	3230
RN7SL749P	290
AL583824.1	5950
MIR4681	72
RGS10	42881
AC012468.1	430
TIAL1	25228
RAD1P1	813
RPS8P4	627
BAG3	26450
TXNP1	697
INPP5F	103237
RN7SL846P	292
PHACTR2P1	23054
AL133461.1	268
MCMBP	63153
SEC23IP	51948
MIR4682	80
NACAP2	624
AL355298.1	180
RPL21P16	483
AC073587.1	5394
PLPP4	132902
LINC01561	2176
WDR11-AS1	89534
AL391425.1	6005
WDR11	58350
AC010998.2	1412
AC010998.1	55154
AC010998.3	631
RPL19P16	634
LINC01153	7267
RN7SKP167	285
FGFR2	120125
AC009988.1	415
RPS15AP5	388
AC025947.1	3428
ATE1	188381
ATE1-AS1	23654
AL731566.2	317
NSMCE4A	18130
AL731566.1	1937
