Geneid,chr,length
AL139230.1,chr13,425
COMMD6,chr13,2897
UCHL3,chr13,1905
AL137782.1,chr13,4178
LMO7-AS1,chr13,593
LMO7,chr13,14367
AL137244.1,chr13,865
FAM204CP,chr13,642
LMO7DN,chr13,1167
LMO7DN-IT1,chr13,321
LINC00561,chr13,2738
LINC01034,chr13,277
RN7SL571P,chr13,295
AL136441.1,chr13,1772
AL365394.1,chr13,592
KCTD12,chr13,6225
AC000403.1,chr13,3585
BTF3P11,chr13,477
ACOD1,chr13,2177
RPL7P44,chr13,742
DHX9P1,chr13,3076
CLN5,chr13,22814
AC001226.2,chr13,6145
FBXL3,chr13,7082
MYCBP2-AS1,chr13,4087
AC001226.1,chr13,539
MYCBP2,chr13,15945
MYCBP2-AS2,chr13,428
AL159158.1,chr13,655
SCEL,chr13,4205
SCEL-AS1,chr13,570
RNY3P7,chr13,101
SPTLC1P5,chr13,252
AL450447.1,chr13,1251
SLAIN1,chr13,4133
MIR3665,chr13,105
EDNRB-AS1,chr13,601
EDNRB,chr13,5607
RNF219-AS1,chr13,8790
AL139002.1,chr13,902
RN7SL810P,chr13,276
LINC01069,chr13,546
LINC00446,chr13,670
AL138957.1,chr13,342
SRGNP1,chr13,451
RNY3P3,chr13,102
RPL31P54,chr13,370
ELOCP23,chr13,332
AL445209.1,chr13,3491
POU4F1,chr13,4547
RNF219,chr13,3529
RPL21P111,chr13,477
LINC00331,chr13,376
HSPD1P8,chr13,1658
CCT5P2,chr13,1624
NIPA2P5,chr13,464
BCAS2P3,chr13,767
RBM26,chr13,10122
RNA5SP33,chr13,98
RBM26-AS1,chr13,3747
NDFIP2-AS1,chr13,431
NDFIP2,chr13,4994
LINC01068,chr13,724
AL136442.1,chr13,1287
LINC01038,chr13,428
LINC00382,chr13,890
AL158064.1,chr13,10285
LINC01080,chr13,2242
AL137781.1,chr13,5485
SPRY2,chr13,3038
RNU6-61P,chr13,109
HNRNPA1P31,chr13,970
PWWP2AP1,chr13,2273
ARF4P4,chr13,520
LINC00377,chr13,657
DPPA3P3,chr13,430
LINC00564,chr13,1119
AL353633.1,chr13,382
RNU6-77P,chr13,91
HIGD1AP2,chr13,280
PTMAP5,chr13,1162
GYG1P2,chr13,1006
AL512782.1,chr13,364
RNU6-67P,chr13,97
SLITRK1,chr13,5189
AL355481.1,chr13,1223
VENTXP2,chr13,481
UBE2D3P4,chr13,436
AL445604.1,chr13,1042
MTND4P1,chr13,1466
MTND5P3,chr13,1800
LINC00333,chr13,613
LINC00375,chr13,601
LINC00351,chr13,911
AL356413.1,chr13,1262
SLITRK6,chr13,4474
AL162373.1,chr13,407
MOB1AP1,chr13,535
AL354994.1,chr13,194
FO624990.1,chr13,85
DDX6P2,chr13,1455
TXNL1P1,chr13,554
LINC00430,chr13,776
UBBP5,chr13,266
LIN28AP2,chr13,458
AL360267.2,chr13,407
AL360267.1,chr13,666
MIR4500HG,chr13,3273
AL355578.1,chr13,1328
MIR4500,chr13,76
SLITRK5,chr13,21103
AL445647.2,chr13,130
LINC00397,chr13,634
AL445647.1,chr13,3599
TET1P1,chr13,2301
AL354896.1,chr13,561
RPL29P29,chr13,423
AL355677.1,chr13,3685
LINC00433,chr13,1055
AL445984.1,chr13,659
LINC00560,chr13,1599
GRPEL2P1,chr13,339
LINC01047,chr13,946
TRIM60P13,chr13,1283
LINC00440,chr13,734
SP3P,chr13,2065
LINC01040,chr13,666
LINC00353,chr13,685
LINC02336,chr13,330
RPL7L1P1,chr13,785
PEX12P1,chr13,1048
LINC00559,chr13,4067
RNA5SP34,chr13,130
FAR1P1,chr13,934
KRT18P27,chr13,1299
MIR622,chr13,96
LINC01049,chr13,742
RNU6-75P,chr13,104
LINC00410,chr13,2018
BRK1P2,chr13,223
LINC00380,chr13,353
LINC00379,chr13,545
PPIAP23,chr13,497
MIR17HG,chr13,3492
MIR17,chr13,84
MIR18A,chr13,71
MIR19A,chr13,82
MIR20A,chr13,71
MIR19B1,chr13,87
MIR92A1,chr13,78
GPC5,chr13,3544
AL356118.1,chr13,1078
AL162456.1,chr13,2006
RNU4ATAC3P,chr13,126
FABP5P4,chr13,171
AL157815.1,chr13,2117
GPC5-AS2,chr13,401
AL159152.1,chr13,2587
GPC5-IT1,chr13,658
MIR548AS,chr13,58
AL356737.1,chr13,234
GPC5-AS1,chr13,461
LINC00363,chr13,210
AL354811.1,chr13,706
GPC6,chr13,6468
HNRNPA1P29,chr13,879
GPC6-AS2,chr13,587
RNA5SP35,chr13,129
GPC6-AS1,chr13,698
DCT,chr13,7543
TGDS,chr13,2589
GPR180,chr13,8822
RNA5SP36,chr13,133
RN7SL585P,chr13,280
LINC00391,chr13,1844
SOX21,chr13,2778
SOX21-AS1,chr13,3287
BRD7P5,chr13,1822
RPL21P112,chr13,463
LINC00557,chr13,1279
RNU6-62P,chr13,102
ABCC4,chr13,8635
RNY3P8,chr13,126
RNY4P27,chr13,96
MEMO1P5,chr13,406
CLDN10,chr13,3380
CLDN10-AS1,chr13,895
DZIP1,chr13,8470
DNAJC3-DT,chr13,3010
DNAJC3,chr13,5591
MTND5P2,chr13,1142
MTND6P18,chr13,513
MTCYBP3,chr13,1137
AL138955.1,chr13,1040
UGGT2,chr13,8105
HMGN1P24,chr13,298
HS6ST3,chr13,7806
RN7SL164P,chr13,303
MIR4501,chr13,64
AMMECR1LP1,chr13,841
HSP90AB6P,chr13,1980
TULP3P1,chr13,2025
AL353581.1,chr13,1370
RN7SKP7,chr13,285
OXGR1,chr13,2659
LINC00456,chr13,692
MBNL2,chr13,4908
RNA5SP37,chr13,130
RAP2A,chr13,5570
AL442067.1,chr13,223
AL442067.2,chr13,363
PSMA6P4,chr13,718
AL359502.1,chr13,692
RPL7AP61,chr13,636
AL356580.1,chr13,159
IPO5,chr13,9671
FTLP8,chr13,267
FARP1,chr13,36228
RNF113B,chr13,1376
RN7SKP8,chr13,358
MIR3170,chr13,77
AL445223.1,chr13,1051
AL161896.1,chr13,508
FARP1-AS1,chr13,323
STK24,chr13,12077
AL356423.1,chr13,538
STK24-AS1,chr13,1278
NUS1P4,chr13,585
CYCSP35,chr13,304
CALM2P4,chr13,426
RN7SL60P,chr13,299
SLC15A1,chr13,4192
DOCK9,chr13,14816
DOCK9-AS1,chr13,392
AL161420.1,chr13,264
RPL7L1P12,chr13,729
RNU6-83P,chr13,112
DOCK9-DT,chr13,807
RPS6P23,chr13,722
GAPDHP22,chr13,413
UBAC2-AS1,chr13,1771
UBAC2,chr13,4603
RN7SKP9,chr13,299
H2AFZP3,chr13,387
GPR18,chr13,1908
GPR183,chr13,1700
MIR623,chr13,98
HMGB3P4,chr13,514
CCR12P,chr13,4544
AL136961.1,chr13,1188
TM9SF2,chr13,5524
LINC01232,chr13,6199
AL139035.1,chr13,565
LINC00449,chr13,872
LINC01039,chr13,650
CFL1P8,chr13,475
CLYBL,chr13,7227
MIR4306,chr13,91
CLYBL-AS2,chr13,695
CLYBL-AS1,chr13,621
ZIC5,chr13,4639
ZIC2,chr13,3310
LINC00554,chr13,3011
NDUFA12P1,chr13,406
ASNSP3,chr13,1306
AL355338.1,chr13,913
PCCA,chr13,7288
RPL15P18,chr13,612
AL356575.1,chr13,283
PCCA-AS1,chr13,843
GGACT,chr13,3477
AL356966.1,chr13,3635
AL136526.1,chr13,2203
RPS26P47,chr13,348
TMTC4,chr13,6272
COX5BP6,chr13,211
NALCN-AS1,chr13,2846
ARF4P3,chr13,509
LINC00411,chr13,461
NALCN,chr13,9140
ITGBL1,chr13,6174
FGF14,chr13,13759
AL160153.1,chr13,429
RNU1-24P,chr13,165
HMGB3P7,chr13,611
MIR2681,chr13,105
LIPT1P1,chr13,1186
RNY1P2,chr13,117
MIR4705,chr13,71
RPL39P29,chr13,157
FGF14-IT1,chr13,2379
AL356266.1,chr13,483
FGF14-AS1,chr13,537
FGF14-AS2,chr13,1074
LINC00555,chr13,442
AL158063.1,chr13,536
TPP2,chr13,6752
METTL21C,chr13,1088
CCDC168,chr13,21466
LINC00283,chr13,1947
TEX30,chr13,2154
KDELC1,chr13,2367
BIVM,chr13,5461
BIVM-ERCC5,chr13,5709
ERCC5,chr13,8242
METTL21EP,chr13,2337
AL137246.1,chr13,977
AL137246.2,chr13,662
SLC10A2,chr13,3779
AL162717.1,chr13,1912
LINC01309,chr13,492
ATP6V1G1P7,chr13,349
RPL7P45,chr13,743
DAOA-AS1,chr13,2482
RF02090,chr13,201
DAOA,chr13,2295
AL359745.1,chr13,760
LINC00343,chr13,4957
RNA5SP38,chr13,119
LINC00460,chr13,4232
RPL35P9,chr13,350
EFNB2,chr13,5019
AL138689.2,chr13,8771
AL138689.1,chr13,668
ARGLU1,chr13,5810
LINC00551,chr13,1668
LINC00443,chr13,1170
ATP5MC1P5,chr13,411
AL162574.2,chr13,657
PPIAP24,chr13,471
AL162574.1,chr13,950
AL162574.3,chr13,612
AL354741.1,chr13,1017
FAM155A,chr13,8503
SNORD31B,chr13,69
AL445649.1,chr13,691
MIR1267,chr13,78
FAM155A-IT1,chr13,819
AL136964.1,chr13,2990
LIG4,chr13,4387
ABHD13,chr13,5338
TNFSF13B,chr13,3059
AL157762.1,chr13,415
RNA5SP39,chr13,120
AL138694.1,chr13,3376
HCFC2P1,chr13,1592
MYO16,chr13,9209
MYO16-AS2,chr13,436
MYO16-AS1,chr13,580
AL161431.1,chr13,5087
LINC00370,chr13,1337
LINC01067,chr13,664
LINC00399,chr13,414
AL163541.1,chr13,1515
LINC00676,chr13,474
IRS2,chr13,8138
AL162497.1,chr13,518
AL355810.1,chr13,552
RN7SKP10,chr13,325
AL355974.1,chr13,1708
AL355974.2,chr13,1331
AL355974.3,chr13,467
LINC00396,chr13,439
RN7SL783P,chr13,301
AL390755.1,chr13,2027
COL4A1,chr13,14738
AL161773.1,chr13,863
COL4A2,chr13,19293
MIR8073,chr13,72
COL4A2-AS2,chr13,1522
COL4A2-AS1,chr13,540
RAB20,chr13,1518
AL139385.1,chr13,3272
NAXD,chr13,2847
CARS2,chr13,10460
ING1,chr13,6388
RPL21P107,chr13,460
LINC00567,chr13,3409
LINC00346,chr13,6265
ANKRD10,chr13,4563
ANKRD10-IT1,chr13,800
AL442128.2,chr13,1824
PARP1P1,chr13,3026
AL442128.1,chr13,90
LINC00431,chr13,1189
LINC00368,chr13,650
ARHGEF7-AS2,chr13,1239
ARHGEF7,chr13,11768
ARHGEF7-IT1,chr13,804
ARHGEF7-AS1,chr13,321
AL353704.1,chr13,1311
AL390754.1,chr13,582
TEX29,chr13,930
AL359649.1,chr13,2130
LINC02337,chr13,374
LINC00354,chr13,590
RF00287,chr13,61
SOX1,chr13,2842
AL356961.1,chr13,1923
LINC00404,chr13,428
SOX1-OT,chr13,545
LINC01070,chr13,2829
LINC01043,chr13,6897
LINC01044,chr13,657
SPACA7,chr13,1114
TUBGCP3,chr13,7254
AL139384.2,chr13,3590
ATP11AUN,chr13,2241
AL139384.1,chr13,3047
ATP11A,chr13,13733
ATP11A-AS1,chr13,2192
AL356752.1,chr13,593
MCF2L,chr13,23148
AL356740.1,chr13,1297
MCF2L-AS1,chr13,712
AL356740.2,chr13,647
AL356740.3,chr13,649
F7,chr13,3795
F10,chr13,2356
F10-AS1,chr13,417
KARSP2,chr13,1639
AL137002.2,chr13,2238
PROZ,chr13,1666
AL137002.1,chr13,182
PCID2,chr13,6243
CUL4A,chr13,7869
MIR8075,chr13,80
LDHBP1,chr13,1119
LAMP1,chr13,5739
GRTP1,chr13,2916
AL136221.1,chr13,509
GRTP1-AS1,chr13,1177
ADPRHL1,chr13,10924
DCUN1D2,chr13,4346
DCUN1D2-AS,chr13,373
RNU1-16P,chr13,164
TMCO3,chr13,10407
AL442125.2,chr13,418
AL442125.1,chr13,3362
TFDP1,chr13,3741
ATP4B,chr13,1488
GRK1,chr13,4941
LINC00552,chr13,2579
TMEM255B,chr13,7287
GAS6-AS1,chr13,7169
GAS6,chr13,6006
GAS6-DT,chr13,1952
BX072579.1,chr13,724
LINC00454,chr13,2234
BX072579.2,chr13,525
LINC00452,chr13,3578
LINC00565,chr13,2331
C13orf46,chr13,3836
RASA3,chr13,4763
RASA3-IT1,chr13,380
CFAP97D2,chr13,2353
AL160396.1,chr13,575
CDC16,chr13,3959
MIR548AR,chr13,57
MIR4502,chr13,81
AL160396.2,chr13,1202
UPF3A,chr13,5772
CLCP2,chr13,421
CHAMP1,chr13,5770
LINC01054,chr13,514
RPL23AP97,chr13,471
RF00002,chr14,758
CR383658.1,chr14,734
RNU6-458P,chr14,107
CR383658.2,chr14,1525
BNIP3P6,chr14,499
CR383656.10,chr14,498
CR383656.7,chr14,145
CR383656.13,chr14,406
CR383656.9,chr14,42
OR11H12,chr14,1085
CR383656.6,chr14,174
ARHGAP42P5,chr14,2936
LINC02297,chr14,1493
CR383656.5,chr14,394
CR383656.1,chr14,2254
CR383656.12,chr14,563
CR383656.8,chr14,1178
CR383656.11,chr14,513
CR383656.3,chr14,122
RPL22P20,chr14,377
CR383656.4,chr14,1340
CR383656.2,chr14,183
NF1P10,chr14,751
AL929601.4,chr14,1341
NF1P7,chr14,1530
MED15P1,chr14,1188
AL929601.1,chr14,871
AL929601.2,chr14,381
POTEM,chr14,2231
AL929601.3,chr14,2086
RNU6-1239P,chr14,107
AL589182.1,chr14,796
GRAMD4P4,chr14,1115
DUXAP9,chr14,4846
AL589743.4,chr14,7344
NBEAP5,chr14,693
AL589182.2,chr14,1049
OR11H13P,chr14,979
AL589743.3,chr14,517
AL589743.6,chr14,117
AL589743.2,chr14,1048
AL589743.7,chr14,647
AL589743.1,chr14,2712
AL589743.5,chr14,1050
DUXAP10,chr14,12311
BMS1P17,chr14,1130
LINC01297,chr14,5269
GRAMD4P3,chr14,1669
POTEG,chr14,2509
AL512624.2,chr14,2566
RNU6-1268P,chr14,107
MED15P6,chr14,988
NF1P4,chr14,1681
AL512310.11,chr14,636
AL512624.1,chr14,469
NF1P11,chr14,1282
AL512310.3,chr14,1335
AL512310.10,chr14,1837
AL512310.8,chr14,120
AL512310.4,chr14,411
AL512310.5,chr14,515
AL512310.6,chr14,1175
AL512310.9,chr14,563
AL512310.7,chr14,2268
AL512310.2,chr14,1493
ARHGAP42P4,chr14,2934
AL512310.1,chr14,172
OR11H2,chr14,1085
OR4N2,chr14,3699
OR11K2P,chr14,948
OR4Q3,chr14,2165
OR4H12P,chr14,907
OR4M1,chr14,3545
OR4N1P,chr14,949
OR4K6P,chr14,897
OR4K3,chr14,947
OR4K2,chr14,8694
OR4K4P,chr14,684
AL391156.1,chr14,554
OR4K5,chr14,1078
OR4K1,chr14,1525
OR4K16P,chr14,1506
OR4K15,chr14,1216
OR4Q2,chr14,2778
OR4K14,chr14,1245
OR4K13,chr14,5980
OR4U1P,chr14,912
OR4L1,chr14,939
RNA5SP380,chr14,98
OR4T1P,chr14,911
OR4K17,chr14,5129
OR4N5,chr14,2187
PSMB7P1,chr14,514
GTF2IP22,chr14,182
OR11G1P,chr14,968
OR11P1P,chr14,374
OR11G2,chr14,4513
OR11H5P,chr14,1325
OR11H6,chr14,993
OR11H7,chr14,945
OR11H4,chr14,1657
TTC5,chr14,9705
AL356019.2,chr14,3829
AL356019.1,chr14,748
CCNB1IP1,chr14,3680
SNORA79B,chr14,148
SNORD126,chr14,77
AL355075.4,chr14,638
RPPH1,chr14,333
PARP2,chr14,4096
AL355075.1,chr14,468
TEP1,chr14,11328
RNA5SP382,chr14,112
KLHL33,chr14,5501
AL355075.5,chr14,992
OSGEP,chr14,5037
AL355075.2,chr14,478
APEX1,chr14,1886
PIP4P1,chr14,3803
PNP,chr14,4139
AL355075.3,chr14,492
RNASE10,chr14,1200
PTCD2P1,chr14,1136
SETP1,chr14,845
RNASE9,chr14,2710
AL163195.3,chr14,2467
RNASE11,chr14,1851
AL163195.2,chr14,2685
RNASE12,chr14,631
AL163195.1,chr14,348
OR6S1,chr14,996
RNASE4,chr14,2613
ANG,chr14,1430
AL163636.2,chr14,1498
AL163636.1,chr14,915
RANBP20P,chr14,2104
EDDM3DP,chr14,434
EDDM3A,chr14,927
EDDM3B,chr14,896
RNASE6,chr14,1061
AL133371.2,chr14,294
RNASE1,chr14,1506
AL133371.3,chr14,583
AL133371.1,chr14,764
RNASE3,chr14,720
AL355922.4,chr14,351
AL355922.3,chr14,449
AL355922.1,chr14,337
RNASE2,chr14,755
RN7SL189P,chr14,289
AL355922.2,chr14,578
METTL17,chr14,4449
AL161668.3,chr14,1936
SLC39A2,chr14,1575
NDRG2,chr14,7550
MIR6717,chr14,73
TPPP2,chr14,2475
AL161668.4,chr14,593
AL161668.2,chr14,492
RNASE13,chr14,1607
RNASE7,chr14,1499
RNASE8,chr14,634
ARHGEF40,chr14,8189
ZNF219,chr14,6679
TMEM253,chr14,1961
AL161668.1,chr14,358
CKAP2P1,chr14,2049
RNU6-252P,chr14,107
OR5AU1,chr14,8409
SMARCE1P3,chr14,1231
AL157687.1,chr14,619
LINC00641,chr14,5715
HNRNPC,chr14,7309
RPGRIP1,chr14,5470
SUPT16H,chr14,7151
AL135744.1,chr14,629
CHD8,chr14,20953
SNORD9,chr14,104
SNORD8,chr14,110
AL161747.1,chr14,358
EIF4EBP1P1,chr14,341
RN7SL650P,chr14,299
RAB2B,chr14,3610
TOX4,chr14,7091
METTL3,chr14,5894
SALL2,chr14,5382
AL161747.2,chr14,472
RBBP4P5,chr14,1266
OR10G3,chr14,2640
AC243972.2,chr14,991
OR10G1P,chr14,944
UBE2NP1,chr14,458
TRAV1-1,chr14,392
OR10G2,chr14,1105
TRAV1-2,chr14,402
ARL6IP1P1,chr14,610
OR4E2,chr14,2855
OR4E1,chr14,3742
AC243972.3,chr14,198
TRAV2,chr14,348
AC243972.1,chr14,570
TRAV3,chr14,519
TRAV4,chr14,395
TRAV5,chr14,352
RPL4P1,chr14,1278
TRAV6,chr14,404
TRAV7,chr14,337
TRAV8-1,chr14,473
TRAV9-1,chr14,338
TRAV10,chr14,379
TRAV11,chr14,339
TRAV12-1,chr14,340
TRAV8-2,chr14,566
TRAV8-3,chr14,341
TRAV13-1,chr14,360
TRAV12-2,chr14,445
TRAV8-4,chr14,469
TRAV8-5,chr14,341
TRAV13-2,chr14,410
TRAV14DV4,chr14,425
TRAV9-2,chr14,394
TRAV15,chr14,249
AC245505.1,chr14,224
TRAV12-3,chr14,399
TRAV8-6,chr14,561
TRAV16,chr14,329
TRAV17,chr14,484
TRAV18,chr14,440
TRAV19,chr14,467
AC245505.2,chr14,3055
TRAV20,chr14,406
TRAV21,chr14,343
AC245505.3,chr14,358
TRAV22,chr14,464
TRAV23DV6,chr14,409
TRDV1,chr14,365
TRAV24,chr14,343
TRAV25,chr14,403
TRAV26-1,chr14,537
TRAV8-7,chr14,341
TRAV27,chr14,425
TRAV28,chr14,323
TRAV29DV5,chr14,469
TRAV30,chr14,337
TRAV31,chr14,342
TRAV32,chr14,340
TRAV33,chr14,338
TRAV26-2,chr14,327
TRAV34,chr14,349
TRAV35,chr14,330
TRAV36DV7,chr14,356
TRAV37,chr14,342
TRAV38-1,chr14,353
TRAV38-2DV8,chr14,395
TRAV39,chr14,331
TRAV40,chr14,317
TRAV41,chr14,336
AC244502.2,chr14,851
AC244502.1,chr14,3284
AC244502.3,chr14,457
TRDV2,chr14,520
TRDD1,chr14,8
TRDD2,chr14,9
TRDD3,chr14,13
TRDJ1,chr14,51
TRDJ4,chr14,48
TRDJ2,chr14,54
TRDJ3,chr14,59
TRDC,chr14,720
TRDV3,chr14,425
TRAJ61,chr14,60
TRAJ60,chr14,57
TRAJ59,chr14,54
TRAJ58,chr14,63
TRAJ57,chr14,63
TRAJ56,chr14,62
TRAJ55,chr14,57
TRAJ54,chr14,60
TRAJ53,chr14,66
TRAJ52,chr14,69
TRAJ51,chr14,63
TRAJ50,chr14,60
TRAJ49,chr14,56
TRAJ48,chr14,63
TRAJ47,chr14,57
TRAJ46,chr14,63
TRAJ45,chr14,66
TRAJ44,chr14,63
TRAJ43,chr14,54
TRAJ42,chr14,66
TRAJ41,chr14,62
TRAJ40,chr14,61
TRAJ39,chr14,63
TRAJ38,chr14,62
TRAJ37,chr14,65
TRAJ36,chr14,58
TRAJ35,chr14,59
TRAJ34,chr14,58
TRAJ33,chr14,57
TRAJ32,chr14,66
TRAJ31,chr14,57
TRAJ30,chr14,57
TRAJ29,chr14,60
TRAJ28,chr14,66
TRAJ27,chr14,59
TRAJ26,chr14,60
TRAJ25,chr14,60
TRAJ24,chr14,63
TRAJ23,chr14,63
TRAJ22,chr14,63
TRAJ21,chr14,55
TRAJ20,chr14,57
TRAJ19,chr14,60
TRAJ18,chr14,66
TRAJ17,chr14,63
TRAJ16,chr14,60
TRAJ14,chr14,52
TRAJ13,chr14,63
TRAJ12,chr14,60
TRAJ11,chr14,60
TRAJ10,chr14,64
TRAJ9,chr14,61
TRAJ8,chr14,60
TRAJ7,chr14,59
TRAJ6,chr14,62
TRAJ5,chr14,60
TRAJ4,chr14,63
TRAJ3,chr14,62
TRAJ2,chr14,66
TRAJ1,chr14,62
TRAC,chr14,976
LINC02332,chr14,386
AC243965.1,chr14,781
DAD1,chr14,808
AC243965.2,chr14,2671
ABHD4,chr14,4070
OR6J1,chr14,4165
AL160314.1,chr14,438
AL160314.2,chr14,2513
OR6E1P,chr14,923
AL160314.3,chr14,767
RF00588,chr14,69
OXA1L,chr14,4497
SLC7A7,chr14,5131
MRPL52,chr14,3213
MMP14,chr14,4464
LRP10,chr14,7112
REM2,chr14,2305
RBM23,chr14,14022
PRMT5-AS1,chr14,3194
PRMT5,chr14,3467
AL132780.1,chr14,989
HAUS4,chr14,2539
AL132780.3,chr14,835
MIR4707,chr14,80
AJUBA,chr14,5979
AL132780.2,chr14,1462
C14orf93,chr14,4243
AL132780.5,chr14,1625
PSMB5,chr14,1765
AL132780.4,chr14,1135
PSMB11,chr14,2110
CDH24,chr14,3748
ACIN1,chr14,9110
C14orf119,chr14,3676
LMLN2,chr14,3229
CEBPE,chr14,1554
SLC7A8,chr14,5991
RNU6-1138P,chr14,106
RNF212B,chr14,2059
AL049829.1,chr14,156
RNU6-1046P,chr14,107
HOMEZ,chr14,5534
H3F3AP2,chr14,1947
PPP1R3E,chr14,5548
BCL2L2,chr14,4189
BCL2L2-PABPN1,chr14,1548
PABPN1,chr14,3876
SLC22A17,chr14,4278
EFS,chr14,3237
AL049829.2,chr14,285
IL25,chr14,1367
CMTM5,chr14,2910
MYH6,chr14,6493
MIR208A,chr14,71
MYH7,chr14,6087
AL132855.1,chr14,207
MIR208B,chr14,77
NGDN,chr14,4654
ZFHX2-AS1,chr14,5097
ZFHX2,chr14,10128
AL135999.2,chr14,1686
THTPA,chr14,2894
AP1G2,chr14,6897
AL135999.1,chr14,3243
JPH4,chr14,5307
AL135999.3,chr14,812
DHRS2,chr14,7556
AL160237.1,chr14,704
BRD7P1,chr14,1915
AL160237.3,chr14,1013
RN7SKP205,chr14,307
AL160237.2,chr14,472
AL136419.2,chr14,809
LINC00596,chr14,937
DHRS4-AS1,chr14,3593
DHRS4,chr14,2305
DHRS4L2,chr14,2516
AL136419.1,chr14,1382
DHRS4L1,chr14,1272
CARMIL3,chr14,6665
CPNE6,chr14,5996
NRL,chr14,3113
PCK2,chr14,4189
DCAF11,chr14,6350
AL136295.3,chr14,850
FITM1,chr14,1355
PSME1,chr14,1781
EMC9,chr14,1588
AL136295.2,chr14,747
PSME2,chr14,3582
MIR7703,chr14,77
RNF31,chr14,4982
AL136295.5,chr14,4798
RNA5SP383,chr14,120
IRF9,chr14,3794
REC8,chr14,3844
IPO4,chr14,5007
AL136295.4,chr14,4351
TM9SF1,chr14,3536
AL136295.1,chr14,2740
AL136295.6,chr14,658
AL136295.7,chr14,1200
TSSK4,chr14,1924
CHMP4A,chr14,2413
AL096870.2,chr14,3045
MDP1,chr14,1072
NEDD8-MDP1,chr14,1051
NEDD8,chr14,3879
GMPR2,chr14,3640
TINF2,chr14,2712
TGM1,chr14,3735
RABGGTA,chr14,3545
DHRS1,chr14,5002
NOP9,chr14,6033
CIDEB,chr14,3198
LTB4R2,chr14,3233
LTB4R,chr14,4465
ADCY4,chr14,8067
AL096870.1,chr14,930
RIPK3,chr14,3256
NFATC4,chr14,8437
NYNRIN,chr14,7955
CBLN3,chr14,2562
KHNYN,chr14,8015
SDR39U1,chr14,3099
AL132800.1,chr14,698
CMA1,chr14,937
CTSG,chr14,1374
AL136018.1,chr14,947
GZMH,chr14,951
GZMB,chr14,1411
STXBP6,chr14,8067
LINC02286,chr14,285
HMGN2P6,chr14,273
OR7K1P,chr14,926
AL079352.1,chr14,1042
LINC02306,chr14,2989
AL359396.1,chr14,2376
AL132633.1,chr14,4532
CYB5AP5,chr14,389
NOVA1,chr14,10046
AL079343.1,chr14,1771
LINC02588,chr14,1483
LINC02294,chr14,497
LINC02293,chr14,853
AL110292.1,chr14,919
MIR4307HG,chr14,932
MIR4307,chr14,84
AL390334.1,chr14,1666
LINC00645,chr14,3654
MIR3171,chr14,74
BNIP3P1,chr14,1585
AL139023.1,chr14,508
RPL26P3,chr14,453
LINC02300,chr14,665
EIF4A1P12,chr14,141
BTF3P2,chr14,487
FOXG1-AS1,chr14,874
FOXG1,chr14,5358
LINC01551,chr14,2772
LINC02282,chr14,1655
LINC02281,chr14,375
AL049777.1,chr14,518
LINC02327,chr14,1986
AL122126.1,chr14,1318
LINC02326,chr14,2051
AL138974.1,chr14,741
RNU6-864P,chr14,108
AL133166.1,chr14,1775
AL158058.1,chr14,919
RNU11-5P,chr14,129
PRKD1,chr14,5187
AL356756.1,chr14,551
RNU6-1234P,chr14,103
AL133372.3,chr14,821
AL133372.2,chr14,1774
AL133372.1,chr14,745
AL079305.1,chr14,3008
G2E3-AS1,chr14,1669
SYF2P1,chr14,413
G2E3,chr14,9353
SCFD1,chr14,6571
UBE2CP1,chr14,554
AL121852.1,chr14,430
RPL12P5,chr14,392
AL049830.2,chr14,201
AL049830.1,chr14,425
COCH,chr14,4031
AL049830.3,chr14,2302
STRN3,chr14,4965
HIGD1AP17,chr14,276
MIR624,chr14,97
AL049830.4,chr14,351
AP4S1,chr14,7223
HECTD1,chr14,12557
RPL21P5,chr14,472
RNU6-541P,chr14,110
AL136418.1,chr14,975
HEATR5A,chr14,10243
AL139353.3,chr14,411
AL139353.1,chr14,4422
AL139353.2,chr14,1791
DTD2,chr14,2971
AL163973.1,chr14,577
GPR33,chr14,1343
NUBPL,chr14,7590
AL163973.3,chr14,430
AL163973.2,chr14,288
RNU6-602P,chr14,105
RNU6-455P,chr14,107
AL355112.1,chr14,1236
LINC02313,chr14,550
AL352984.2,chr14,546
AL352984.1,chr14,276
ARHGAP5-AS1,chr14,1848
ARHGAP5,chr14,10888
AL161665.1,chr14,3938
RNU6-7,chr14,107
RNU6-8,chr14,107
AL136298.2,chr14,1570
AL136298.3,chr14,445
AKAP6,chr14,19748
AL136298.1,chr14,928
RN7SL660P,chr14,299
MTCO1P2,chr14,703
AL049781.1,chr14,3585
NPAS3,chr14,9241
EGLN3,chr14,7359
EGLN3-AS1,chr14,308
AL356806.1,chr14,916
SPTSSA,chr14,2777
RPL23AP71,chr14,469
EAPP,chr14,2030
AL445363.3,chr14,671
AL445363.1,chr14,1324
RNU1-27P,chr14,164
RNU1-28P,chr14,164
AL445363.2,chr14,1137
SNX6,chr14,4105
RPS19P3,chr14,441
RNU6-1261P,chr14,104
RPL23AP8,chr14,475
CFL2,chr14,7179
RPL12P6,chr14,498
BAZ1A,chr14,7698
RNU7-41P,chr14,61
AL121603.2,chr14,2117
SRP54-AS1,chr14,1531
AL121603.1,chr14,142
IGBP1P1,chr14,1009
SRP54,chr14,3903
FAM177A1,chr14,8385
PPP2R3C,chr14,3863
